ID,Starting slice left,Starting slice right,end slice left,end slice right,nSlicesLeft,nSlicesRight
137.1,15,14,22,22,8,9
138.1,13,15,21,21,9,7
139.1,16,16,22,22,7,7
140.2,18,17,24,24,7,8
141.1,16,15,23,23,8,9
142.1,16,16,22,22,7,7
143.1,15,14,20,20,6,7
144.2,17,16,23,23,7,8
145.1,15,15,22,22,8,8
146.1,15,14,22,22,8,9
148.1,16,16,24,24,9,9
149.2,17,16,22,22,6,7
