ID,Starting slice left,Starting slice right,end slice left,end slice right,nSlicesLeft,nSlicesRight
124.2,17,17,24,24,8,8
125,15,15,21,21,7,7
126,14,15,22,22,9,8
128,16,16,23,23,8,8
129,14,14,20,20,7,7
130,15,15,21,21,7,7
131.1,17,18,24,24,8,7
132,15,14,19,19,5,6
133,16,16,23,23,8,8
134,17,15,24,24,8,10
135,17,17,22,22,6,6
136.2,15,14,22,22,8,9
