ID,Starting slice left,Starting slice right,end slice left,end slice right,nSlicesLeft,nSlicesRight,NOTE
137_1,14,15,22,22,,,
138_1,14,15,21,21,,,
139_1,16,15,22,22,,,
140_2,17,16,24,24,,,
141_1,15,14,23,23,,,
142_1,15,16,22,22,,,
143_1,15,14,20,20,,,
144_1,16,17,23,23,,,
145_1,15,16,22,22,,,
146_1,15,15,22,22,,,
148_1,16,17,24,24,,,
149_2,16,15,22,22,,,
