ID,Starting slice left,Starting slice right,end slice left,end slice right,nSlicesLeft,nSlicesRight,NOTE
124_2,17,17,24,24,,,
125_1,15,15,21,21,,,
126_2,14,15,22,22,,,
128_1,15,16,23,23,,,
129_1,13,14,20,20,,,
130_1,13,15,21,21,,,
131_1,17,17,24,24,,,
132_1,15,14,19,19,,,
133_2,16,16,23,23,,,
134_1,17,15,24,24,,,
135_1,17,15,22,22,,,
136_2,16,15,22,22,,,
