ID,Starting slice left,Starting slice right,end slice left,end slice right,nSlicesLeft,nSlicesRight
111,17,16,22,22,,
112,15,17,22,22,,
113,17,17,24,24,,
115,17,17,24,24,,
116,14,15,21,21,,
117,15,15,23,23,,
118,14,15,22,22,,
119,16,16,22,22,,
120,16,16,24,24,,
121,15,15,21,21,,
122,17,17,23,23,,
123,14,16,21,21,,
