ID,Starting slice left,Starting slice right,end slice left,end slice right,nSlicesLeft,nSlicesRight,NOTE
111_1,17,16,22,22,,,
112_2,15,17,22,22,,,
113_2,17,17,24,24,,,
115_1,17,17,24,24,,,
116_1,15,14,21,21,,,
117_1,15,15,23,23,,,
118_1,14,14,22,22,,,
119_1,16,16,22,22,,,
120_1,16,16,24,24,,,
121_2,15,15,21,21,,,
122_1,17,17,23,23,,,
123_1,14,14,21,21,,,
